timestamp,iteration,ip,method,url,path,protocol,request_body,response_status,blocked,latency_ms
2025-12-08T09:27:00.729569,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,' OR 1=1--,403,True,4064.75
2025-12-08T09:27:02.645616,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,"' UNION SELECT NULL, @@VERSION, USER()--",403,True,1704.37
2025-12-08T09:27:02.864666,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,'; EXEC sp_xp_cmdshell 'dir c:\';--,403,True,4.74
2025-12-08T09:27:05.008882,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,' AND (SELECT SLEEP(5))--,403,True,1936.68
2025-12-08T09:27:07.038032,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,<script>alert('XSS')</script>,403,True,1816.24
2025-12-08T09:27:07.249753,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,<img src=x onerror=alert(document.cookie)>,403,True,5.16
2025-12-08T09:27:09.481092,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,"""><svg onload=alert(1)>",403,True,2021.39
2025-12-08T09:27:11.729244,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,<marquee onstart=alert('hello')>,403,True,2046.94
2025-12-08T09:27:14.040753,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,; cat /etc/passwd,403,True,2096.38
2025-12-08T09:27:16.525430,1,127.0.0.1,POST,http://localhost:2323/WebGoat/SqlInjection/attack8,/WebGoat/SqlInjection/attack8,HTTP/1.1,& ipconfig /all,403,True,2276.11
